URL SITE,YOUTUBE,TIME,Difficulty
https://www.24kitchen.pt/receita/caldeirada-de-petinga-coimbra,https://youtu.be/J_bx-LK_w4Q,45,medium
https://www.24kitchen.pt/receita/biscoitos-de-pinhao-a-moda-de-arganil-coimbra,https://youtu.be/XGlbgqw0c3I,45,medium
https://www.24kitchen.pt/receita/creme-de-favas-castelo-branco,https://youtu.be/URApgyEIjKQ,45,medium
https://www.24kitchen.pt/receita/trutas-abafadas-castelo-branco,https://youtu.be/oGugLi0xXoU,60,hard
https://www.24kitchen.pt/receita/marra-castelo-branco,https://youtu.be/CZ3Ze_nQfhg,180,hard
https://www.24kitchen.pt/receita/legumes-lavrador-leiria,https://youtu.be/UZfeOEkdmsk,45,medium
https://www.24kitchen.pt/receita/sopa-de-peixe-camarao-leiria,https://youtu.be/v71fe2vlbe8,45,medium
https://www.24kitchen.pt/receita/pudim-molotof-leiria,https://youtu.be/BwxcNGht3d0,45,medium
https://www.24kitchen.pt/receita/tomatada-com-ovos-santarem,https://youtu.be/pVp8bCAIlu4,45,medium
https://www.24kitchen.pt/receita/pernil-de-porco-assado-santarem,https://youtu.be/0xesDGdoHOU,180,hard
https://www.24kitchen.pt/receita/argolinhas-de-santarem-santarem,https://youtu.be/9Pm-dDtVkOY,45,medium
https://www.24kitchen.pt/receita/pataniscas-de-bacalhau-lisboa,https://youtu.be/aTmS5AKf6ZU,45,medium
https://www.24kitchen.pt/receita/ovos-verdes-lisboa,https://youtu.be/JGKJCaKkbT8,45,medium
https://www.24kitchen.pt/receita/bife-de-cafe-lisboa,https://youtu.be/ap2F60Hughc,30,easy
https://www.24kitchen.pt/receita/bacalhau-albardado-portalegre,https://youtu.be/kLbom94XorY,45,medium
https://www.24kitchen.pt/receita/perdiz-de-escabeche-portalegre,https://youtu.be/YiUQr_5vVZU,180,hard
https://www.24kitchen.pt/receita/tarte-de-requeijao-portalegre,https://youtu.be/cOmVyHQs2hg,60,hard
https://www.24kitchen.pt/receita/sopa-caramela-setubal,https://youtu.be/zj6t8vctylc,45,medium
https://www.24kitchen.pt/receita/filetes-de-salmonete-setubal,https://youtu.be/owVmIU20sGw,45,medium
https://www.24kitchen.pt/receita/feijoada-de-choco-setubal,https://youtu.be/KnDX-TndEuc,45,medium
https://www.24kitchen.pt/receita/espargos-com-ovos-evora,https://youtu.be/7K2goXYBySQ,45,medium
https://www.24kitchen.pt/receita/sopa-alentejana-evora,https://youtu.be/D6uWMuCuFV8,45,medium
https://www.24kitchen.pt/receita/secretos-de-porco-com-migas-evora,https://youtu.be/3PWA_vps17s,45,medium
https://www.24kitchen.pt/receita/bochecas-porco-preto,https://youtu.be/eBjKCYQnYoU,60,hard
https://www.24kitchen.pt/receita/bolo-bom-gosto,https://youtu.be/q4raKpXbhrQ,60,hard
https://www.24kitchen.pt/receita/canja-conquilhas,https://youtu.be/yKstCvp9N1Y,60,hard
https://www.24kitchen.pt/receita/lulas-algarvia,https://youtu.be/D3CyvoOjbjk,45,medium
https://www.24kitchen.pt/receita/febra-com-salada-montanheira,https://youtu.be/7HNfa2ld4AY,45,medium
https://www.24kitchen.pt/receita/sopa-de-trigo-com-feijao-madeira,https://youtu.be/AfHe61P1-kM,180,hard
https://www.24kitchen.pt/receita/peixe-espada-com-banana-maracuja,https://youtu.be/1lEronPstjY,45,medium
https://www.24kitchen.pt/receita/sufle-bolo-mel,https://youtu.be/yd4Dj6zj9Kc,30,easy
https://www.24kitchen.pt/receita/arroz-lapas,https://youtu.be/jZ_7ur9aY3c,45,medium
https://www.24kitchen.pt/receita/carne-guisada-com-especiarias,https://youtu.be/A_PG99LqgOI,60,hard
https://www.24kitchen.pt/receita/crumble-de-ananas-acores,https://youtu.be/IBg2AMiHNDM,60,hard
https://www.24kitchen.pt/receita/salada-tailandesa,https://youtu.be/fFZWZphyLIU,30,easy
https://www.24kitchen.pt/receita/frango-piri-piri,https://youtu.be/QSvcQwZTKJo,45,medium
https://www.24kitchen.pt/receita/bolo-de-banana-e-caramelo,https://youtu.be/xBzJdlqANpU,45,medium
